RLC1 EMBEDDED CONSTANTS AUDIT — score_claim=false
Scope: every numeric literal in the six changed receiver source files (all lines, including inherited portions). Archive bytes are counted, not code.
Content-selected config is exactly19 bytes: class=1; low=128; high=320; history=16; priorDen=4; minCount=4; residualMax=36; slopeMax=2; widthDen=2; widthMultiplier=3; spanMax=24; bins=0,1,2,4,8,16. It is loaded from RLC1 rider bytes45..63. Forty signed fitted weights occupy bytes5..44; version is byte4. Native sees parsed config only. No TC4 class/map selectors are present in this candidate.
A source literal can equal a selected value without supplying it: e.g.255 is uint8 bound;2 is proven slope-domain ceiling, while the actual slope comes from cfg[7]. Those constants enforce arithmetic safety and cannot reconstruct a selected geometry choice.
New generic arithmetic predeclared before pricing: public shape384x512/K5; HPAC64-cell slots and190 groups; six moment coordinates; Q16=65536; integer root's2-bit shifts, nearest-even half/unit, int64/int128 bounds; binary packing offsets and format/version tags. C cfg indices0..16 label serialized fields, never values.
Inherited literals: exact same source line occurs in move40's same relative file. Their provenance is the immutable move40 format/receiver, with its compliance adjudication by MAIN; no claim of freshly auditing all inherited mechanisms. Inherited mixer lines map to tc3 adaptive receiver algorithm (KT half-count smoothing, ratio clip1/16..16, fixed-log arithmetic, weights/state dimensions); its fitted weights stay counted.
Pins in inflate.py are non-reconstructive archive identity metadata. Proof BLAS1/4 and advisory mode are environmental test controls; normal runtime remains CUDA/T4-declared.
No scorer, GT, source-video, absolute external imports, learned table or per-frame content is added to receiver code. All data-derived scalars are in archive.zip.

LITERAL CENSUS
inflate.py:19 literal=180173 | GENERIC archive integrity pin or explicit proof/device/thread control | ARCHIVE_BYTES = 180173
inflate.py:68 literal=4 | INHERITED_EXACT_LINE move40/inflate.py | num_threads=4,
inflate.sh:4 literal=3 | INHERITED_EXACT_LINE move40/inflate.sh | if [[ "$#" -ne 3 ]]; then
inflate.sh:5 literal=2 | INHERITED_EXACT_LINE move40/inflate.sh | echo "usage: inflate.sh <archive-dir> <output-dir> <file-list>" >&2
inflate.sh:6 literal=2 | INHERITED_EXACT_LINE move40/inflate.sh | exit 2
inflate.sh:9 literal=0 | INHERITED_EXACT_LINE move40/inflate.sh | HERE="$(cd "$(dirname "${BASH_SOURCE[0]}")" && pwd)"
inflate.sh:10 literal=1 | INHERITED_EXACT_LINE move40/inflate.sh | DATA_DIR="$1"
inflate.sh:11 literal=2 | INHERITED_EXACT_LINE move40/inflate.sh | OUTPUT_DIR="$2"
inflate.sh:12 literal=3 | INHERITED_EXACT_LINE move40/inflate.sh | FILE_LIST="$3"
inflate.sh:19 literal=2 | INHERITED_EXACT_LINE move40/inflate.sh | echo "semantic_joint_ctxmix requires a C compiler; '$CC_REQUESTED' is unavailable (set CC)" >&2
inflate.sh:20 literal=69 | INHERITED_EXACT_LINE move40/inflate.sh | exit 69
inflate.sh:23 literal=1 | INHERITED_EXACT_LINE move40/inflate.sh | if ! python - <<'PY' >/dev/null 2>&1
inflate.sh:23 literal=2 | INHERITED_EXACT_LINE move40/inflate.sh | if ! python - <<'PY' >/dev/null 2>&1
inflate.sh:26 literal=0 | INHERITED_EXACT_LINE move40/inflate.sh | raise SystemExit(importlib.metadata.version("Brotli") != "1.2.0")
inflate.sh:26 literal=1.2 | INHERITED_EXACT_LINE move40/inflate.sh | raise SystemExit(importlib.metadata.version("Brotli") != "1.2.0")
inflate.sh:29 literal=0 | INHERITED_EXACT_LINE move40/inflate.sh | echo "semantic_joint_ctxmix requires Brotli==1.2.0; install it before inflation" >&2
inflate.sh:29 literal=1.2 | INHERITED_EXACT_LINE move40/inflate.sh | echo "semantic_joint_ctxmix requires Brotli==1.2.0; install it before inflation" >&2
inflate.sh:29 literal=2 | INHERITED_EXACT_LINE move40/inflate.sh | echo "semantic_joint_ctxmix requires Brotli==1.2.0; install it before inflation" >&2
